Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Î£ Original Estimate,Î£ Remaining Estimate,Î£ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Status Category,Status Category Changed
add test on dashboard,SCRUM-22,10021,Task,Done,SCRUM,Task-Manager-Extension,software,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,Medium,Done,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,05/Feb/25 7:39 PM,05/Feb/25 9:01 PM,06/Feb/25 8:48 AM,05/Feb/25 9:01 PM,,0,,,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,,,,,,,,,,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2025-02-05T21:00:50.000+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":false}}",,,,,,,,,,,0|i00006:ti,,,SCRUM Sprint 3,,,,,,,,,,,,10000_*:*_1_*:*_4899052_*|*_10002_*:*_1_*:*_0,,Done,05/Feb/25 9:01 PM
add exit-to-landingpage,SCRUM-21,10020,Task,Done,SCRUM,Task-Manager-Extension,software,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,Medium,Done,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,05/Feb/25 6:07 PM,05/Feb/25 6:39 PM,05/Feb/25 6:44 PM,05/Feb/25 6:39 PM,,0,,,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,,,,,,,,,,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2025-02-05T18:38:03.000+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,,0|i00006:u,,,SCRUM Sprint 3,,,,,,,,,,,,10000_*:*_1_*:*_1914990_*|*_10002_*:*_1_*:*_0,,Done,05/Feb/25 6:39 PM
task-create-modal,SCRUM-20,10019,Task,Done,SCRUM,Task-Manager-Extension,software,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,Medium,Done,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,05/Feb/25 2:27 PM,05/Feb/25 6:05 PM,,05/Feb/25 6:05 PM,,0,,,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,,,,,,,,,,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2025-02-05T18:03:13.000+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,,0|i00006:t,,,SCRUM Sprint 3,,,,,,,,,,,,10000_*:*_1_*:*_13069660_*|*_10002_*:*_1_*:*_0,,Done,05/Feb/25 6:05 PM
add-dashboard-field,SCRUM-19,10018,Task,Done,SCRUM,Task-Manager-Extension,software,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,Medium,Done,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,30/Jan/25 4:00 PM,30/Jan/25 5:53 PM,,30/Jan/25 5:35 PM,,0,,,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,,,,,,,,,,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2025-01-30T17:32:48.000+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,,0|i00006:v,,,SCRUM Sprint 2,SCRUM Sprint 3,,,,,,,,,,,10000_*:*_1_*:*_5713726_*|*_10002_*:*_1_*:*_0,,Done,30/Jan/25 5:35 PM
create-rightsidebar-component,SCRUM-18,10017,Task,Done,SCRUM,Task-Manager-Extension,software,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,Medium,Done,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,28/Jan/25 7:52 PM,30/Jan/25 5:53 PM,,30/Jan/25 3:52 PM,,0,,,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,,,,,,,,,,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2025-01-30T15:49:38.000+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,,0|i00006:o,,,SCRUM Sprint 2,SCRUM Sprint 3,,,,,,,,,,,10000_*:*_1_*:*_158400943_*|*_10002_*:*_1_*:*_0,,Done,30/Jan/25 3:52 PM
add link to dashboard,SCRUM-17,10016,Task,Done,SCRUM,Task-Manager-Extension,software,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,Medium,Done,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,24/Jan/25 1:08 PM,30/Jan/25 5:53 PM,24/Jan/25 2:17 PM,24/Jan/25 2:17 PM,,0,,,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,,,,,,,,,,,,,"{pullrequest={dataType=pullrequest, state=OPEN, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2025-01-24T14:16:04.000+0100"",""stateCount"":1,""state"":""OPEN"",""dataType"":""pullrequest"",""open"":true},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,,0|i00006:r,,,SCRUM Sprint 2,SCRUM Sprint 3,,,,,,,,,,,10000_*:*_1_*:*_4107766_*|*_10002_*:*_1_*:*_0,,Done,24/Jan/25 2:17 PM
Implement edit task functionality,SCRUM-16,10015,Task,To Do,SCRUM,Task-Manager-Extension,software,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,Medium,,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,22/Jan/25 10:46 PM,30/Jan/25 5:53 PM,22/Jan/25 11:40 PM,,,0,,,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,,,,,,,,,,,,,{},,,,,,,,,,,0|i0002n:,,,SCRUM Sprint 2,SCRUM Sprint 3,,,,,,,,,,,,,To Do,22/Jan/25 10:46 PM
delete task,SCRUM-15,10014,Task,To Do,SCRUM,Task-Manager-Extension,software,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,Medium,,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,22/Jan/25 10:46 PM,30/Jan/25 5:53 PM,,,,0,,,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,,,,,,,,,,,,,{},,,,,,,,,,,0|i0002f:,,,SCRUM Sprint 2,SCRUM Sprint 3,,,,,,,,,,,,,To Do,22/Jan/25 10:46 PM
implement task creation,SCRUM-14,10013,Task,To Do,SCRUM,Task-Manager-Extension,software,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,Medium,,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,22/Jan/25 10:46 PM,30/Jan/25 5:53 PM,,,,0,,,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,,,,,,,,,,,,,{},,,,,,,,,,,0|i00027:,,,SCRUM Sprint 2,SCRUM Sprint 3,,,,,,,,,,,,,To Do,22/Jan/25 10:46 PM
add task modal,SCRUM-13,10012,Task,In Progress,SCRUM,Task-Manager-Extension,software,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,Medium,,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,22/Jan/25 10:45 PM,05/Feb/25 9:01 PM,,,,0,,,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,,,,,,,,,,,,,{},,,,,,,,,,,0|i0001z:,,,SCRUM Sprint 2,SCRUM Sprint 3,,,,,,,,,,,,,In Progress,05/Feb/25 9:01 PM
create sidebar component,SCRUM-12,10011,Task,Done,SCRUM,Task-Manager-Extension,software,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,Medium,Done,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,22/Jan/25 10:45 PM,30/Jan/25 5:53 PM,,28/Jan/25 7:50 PM,,0,,,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,,,,,,,,,,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2025-01-28T19:48:16.000+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,,0|i00006:m,,,SCRUM Sprint 2,SCRUM Sprint 3,,,,,,,,,,,10000_*:*_1_*:*_507920176_*|*_10002_*:*_1_*:*_0,,Done,28/Jan/25 7:50 PM
Dashboard-header-component,SCRUM-11,10010,Task,Done,SCRUM,Task-Manager-Extension,software,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,Medium,Done,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,22/Jan/25 10:45 PM,30/Jan/25 5:53 PM,22/Jan/25 11:45 PM,22/Jan/25 11:38 PM,,0,,,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,,,,,,,,,,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2025-01-22T23:37:32.000+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,,0|i00006:i,,,SCRUM Sprint 2,SCRUM Sprint 3,,,,,,,,,,,10000_*:*_1_*:*_3199456_*|*_10002_*:*_1_*:*_0,22/Jan/25 11:38 PM;712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f;ðŸŽ‰ Looks good!,Done,22/Jan/25 11:38 PM
Login-Page,SCRUM-10,10009,Task,STUCK-ISSUES,SCRUM,Task-Manager-Extension,software,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,Medium,,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,20/Nov/24 3:46 PM,22/Jan/25 8:09 PM,22/Jan/25 8:08 PM,,,0,Donâ€™t know if login should be created or not,,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,,,,,,,,,,,,,{},,,,,,,,,,,0|i0001b:,,,SCRUM Sprint 1,,,,,,,,,,,,,20/Nov/24 3:47 PM;712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f;Donâ€™t know if login should be created or not,In Progress,20/Nov/24 3:46 PM
Add-image-to-Testimonials,SCRUM-9,10008,Task,Done,SCRUM,Task-Manager-Extension,software,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,Medium,Done,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,20/Nov/24 3:43 PM,30/Jan/25 5:53 PM,21/Nov/24 8:10 AM,20/Nov/24 4:29 PM,,0,,,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,,,,,,,,,,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2024-11-20T16:28:21.000+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,,0|i00005:,,,SCRUM Sprint 1,SCRUM Sprint 2,SCRUM Sprint 3,,,,,,,,,,10000_*:*_1_*:*_2757920_*|*_10002_*:*_1_*:*_0_*|*_10001_*:*_1_*:*_4101,,Done,20/Nov/24 4:29 PM
Make navbar sticky,SCRUM-8,10007,Task,Done,SCRUM,Task-Manager-Extension,software,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,Medium,Done,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,20/Nov/24 1:42 PM,30/Jan/25 5:53 PM,06/Feb/25 8:42 AM,22/Jan/25 7:57 PM,,0,,,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,,,,,,,,,,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2025-01-22T19:57:26.000+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":false}}",,,,,,,,,,,0|i00006:,,,SCRUM Sprint 1,SCRUM Sprint 2,SCRUM Sprint 3,,,,,,,,,,10000_*:*_1_*:*_5465741489_*|*_10002_*:*_1_*:*_0,,Done,22/Jan/25 7:57 PM
Fix spacing between navbar urls,SCRUM-7,10006,Task,Done,SCRUM,Task-Manager-Extension,software,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,Medium,Done,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,20/Nov/24 1:34 PM,30/Jan/25 5:53 PM,22/Jan/25 7:40 PM,20/Nov/24 2:29 PM,,0,,,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,,,,,,,,,,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2024-11-20T14:28:26.000+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,,0|i00001:,,,SCRUM Sprint 1,SCRUM Sprint 2,SCRUM Sprint 3,,,,,,,,,,10000_*:*_1_*:*_3299337_*|*_10002_*:*_1_*:*_0_*|*_10001_*:*_1_*:*_3324,,Done,20/Nov/24 2:29 PM
Fix font-size issue,SCRUM-6,10005,Bug,Done,SCRUM,Task-Manager-Extension,software,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,Medium,Done,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,13/Nov/24 10:18 PM,13/Nov/24 11:03 PM,22/Jan/25 11:46 PM,13/Nov/24 11:03 PM,,0,,,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,,,,,,,,,,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2024-11-13T23:02:41.000+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,,0|i0000n:,,,,,,,,,,,,,,,10000_*:*_1_*:*_2661937_*|*_10002_*:*_1_*:*_0_*|*_10001_*:*_1_*:*_73079,,Done,13/Nov/24 11:03 PM
Add  urls to links,SCRUM-5,10004,Task,Done,SCRUM,Task-Manager-Extension,software,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,Medium,Done,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,12/Nov/24 8:39 PM,30/Jan/25 5:53 PM,06/Feb/25 8:09 AM,20/Nov/24 3:21 PM,,0,,,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,,,,,,,,,,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2024-11-20T15:21:16.000+0100"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,,0|i00003:,,,SCRUM Sprint 1,SCRUM Sprint 2,SCRUM Sprint 3,,,,,,,,,,10000_*:*_1_*:*_669031165_*|*_10002_*:*_1_*:*_0_*|*_10001_*:*_1_*:*_3111940,,Done,20/Nov/24 3:21 PM
Contact-Us functionality,SCRUM-4,10003,Task,STUCK-ISSUES,SCRUM,Task-Manager-Extension,software,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,Medium,,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,12/Nov/24 8:36 PM,05/Feb/25 9:02 PM,20/Nov/24 4:38 PM,,,0,Add contact us functionality,,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,,,,,,,,,,,,,{},,,,,,,,,,,0|hzzzzr:,,,SCRUM Sprint 1,SCRUM Sprint 2,SCRUM Sprint 3,,,,,,,,,,,,In Progress,05/Feb/25 9:02 PM
Dropdown issue in faq section,SCRUM-3,10002,Bug,To Do,SCRUM,Task-Manager-Extension,software,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,Medium,,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,12/Nov/24 8:34 PM,30/Jan/25 5:53 PM,13/Nov/24 10:18 PM,,,0,Fix dropdown issue in faq section,,Behzod Allayev,712020:8f8ed467-c7c9-42e7-9f2e-8226ef7d853f,,,,,,,,,,,,,,{},,,,,,,,,,,0|hzzzzz:,,,SCRUM Sprint 1,SCRUM Sprint 2,SCRUM Sprint 3,,,,,,,,,,,,To Do,12/Nov/24 8:34 PM
